0.004282,-0.0028,-0.1313,0.3314,0.357
0.004605,0.0655,-0.2290,0.3180,0.397
0.011476,0.0986,-0.2871,0.2799,0.413
0.011763,0.1830,-0.3159,0.2084,0.420
0.016559,0.2334,-0.3632,0.0752,0.438
0.021928,0.2601,-0.3911,-0.0286,0.471
0.026057,0.2965,-0.3666,-0.0982,0.482
0.031056,0.3144,-0.3615,-0.1336,0.497
0.035993,0.3286,-0.3808,-0.2349,0.555
0.042031,0.2969,-0.3196,-0.3777,0.577
0.046085,0.2676,-0.2834,-0.4711,0.611
0.050918,0.2457,-0.2435,-0.4964,0.605
0.055891,0.2261,-0.2239,-0.5012,0.594
0.061382,0.2184,-0.2102,-0.4715,0.561
0.066273,0.1796,-0.2260,-0.4649,0.547
0.070956,0.2191,-0.2046,-0.4000,0.500
0.076426,0.1885,-0.1509,-0.3249,0.405
0.082537,0.1119,-0.0748,-0.2967,0.326
0.085973,0.0082,-0.0047,-0.3154,0.316
0.091119,-0.0655,0.0594,-0.2757,0.290
0.095835,-0.0389,-0.0061,-0.1879,0.192
0.100837,0.4342,-0.4336,0.1383,0.629
0.106271,0.4425,-0.4255,-0.0132,0.614
0.110716,0.3036,-0.2889,-0.2304,0.478
0.116506,0.2422,-0.1624,-0.3703,0.471
0.122581,0.2050,-0.0698,-0.4428,0.493
0.125760,0.1628,-0.0109,-0.4295,0.459
0.130897,0.1345,0.0479,-0.4689,0.490
0.135960,0.1103,0.0686,-0.4990,0.516
0.141813,0.0523,0.0993,-0.5058,0.518
0.148513,0.0036,0.0637,-0.4560,0.460
0.156519,-0.0222,-0.0187,-0.2307,0.232
0.156999,-0.0207,-0.0760,-0.0649,0.102
0.161129,-0.0113,-0.0661,-0.0483,0.083
0.165589,-0.0370,-0.0321,0.0010,0.049
0.171335,-0.1165,-0.0740,-0.0219,0.140
0.176914,-0.1254,-0.0536,-0.0829,0.160
0.181007,-0.1399,0.0194,-0.1916,0.238
0.185910,-0.1263,0.0826,-0.2856,0.323
0.190548,-0.1655,0.1173,-0.4175,0.464
0.195965,-0.1808,0.1286,-0.4922,0.540
0.201406,-0.1724,0.1644,-0.5293,0.580
0.205439,-0.1929,0.1913,-0.5673,0.629
0.210941,-0.2088,0.1857,-0.5824,0.646
0.215316,-0.2107,0.2190,-0.6034,0.676
0.220741,-0.2129,0.2435,-0.5304,0.621
0.225781,-0.2533,0.2210,-0.4781,0.584
0.230787,-0.2461,0.2519,-0.4368,0.561
0.235606,-0.2820,0.2736,-0.4205,0.575
0.240548,-0.2514,0.2624,-0.3765,0.523
0.247732,-0.2737,0.2707,-0.3239,0.503
0.250782,-0.3199,0.3221,-0.3007,0.544
0.255144,-0.3324,0.3494,-0.3444,0.593
0.260729,-0.3635,0.3671,-0.3546,0.627
0.264920,-0.3654,0.3799,-0.3456,0.630
0.270413,-0.3571,0.4067,-0.3652,0.653
0.275663,-0.4580,0.4142,-0.2655,0.672
0.280344,-0.9117,0.5354,0.1424,1.067
0.284976,-1.5560,0.6885,0.7466,1.858
0.290102,-1.9246,0.8165,1.0038,2.319
0.295367,-1.9040,0.8767,0.7552,2.228
0.300458,-1.8246,0.8984,0.5609,2.110
0.305042,-1.7389,0.9673,0.5441,2.063
0.310407,-1.7096,0.9673,0.5722,2.046
0.315198,-1.6971,0.9527,0.5530,2.023
0.320532,-1.6436,0.9567,0.5203,1.972
0.325033,-1.5199,0.8314,0.4123,1.781
0.330616,-1.2879,0.7348,0.2819,1.509
0.335221,-0.8815,0.6997,0.2343,1.150
0.339847,-0.7384,0.5162,0.0453,0.902
0.345210,-0.7212,0.2900,-0.3420,0.849
0.350066,-0.6855,0.1547,-0.5069,0.866
0.354904,-0.6127,0.0669,-0.5269,0.811
0.363665,-0.4995,-0.0265,-0.5070,0.712
0.364787,-0.3896,-0.0254,-0.5237,0.653
0.370444,-0.2780,-0.0255,-0.5958,0.658
0.381929,-0.1693,-0.0889,-0.6660,0.693
0.382649,-0.0251,-0.1723,-0.6818,0.704
0.385585,0.1258,-0.3136,-0.5816,0.673
0.389969,0.2209,-0.4553,-0.4137,0.654
0.394654,0.3553,-0.5352,-0.3075,0.712
0.399975,0.4520,-0.6296,-0.2582,0.817
0.404885,0.5068,-0.6762,-0.2325,0.876
0.409734,0.5243,-0.7323,-0.1781,0.918
0.414769,0.5476,-0.7739,-0.0904,0.952
0.420410,0.5574,-0.7390,-0.0937,0.930
0.424982,0.5058,-0.6755,-0.2306,0.875
0.429683,0.4791,-0.6121,-0.3958,0.872
0.434916,0.4385,-0.5632,-0.5031,0.873
0.439658,0.4074,-0.6194,-0.5097,0.900
0.444511,0.3952,-0.6609,-0.5069,0.922
0.450374,0.3303,-0.6593,-0.4802,0.880
0.455055,0.3036,-0.7338,-0.4396,0.908
0.459347,0.7020,-1.1032,-0.4188,1.373
0.464599,0.5840,-0.9935,-0.3083,1.193
0.469901,0.5051,-0.8121,-0.3374,1.014
0.474816,0.1785,-0.7548,-0.3528,0.852
0.479526,-0.2667,-0.6686,-0.2308,0.756
0.484520,-0.2829,-0.3767,-0.0867,0.479
0.489368,-0.5071,-0.0798,-0.0980,0.523
0.494405,-0.5322,0.2606,-0.1691,0.616
0.499475,-0.4240,0.4966,-0.2475,0.698
0.504172,-0.2001,0.6904,-0.2802,0.772
0.509199,0.0831,0.8418,-0.2860,0.893
0.514245,0.3837,0.9361,-0.3213,1.061
0.519394,0.6397,0.8537,-0.3376,1.119
0.524667,0.8502,0.7046,-0.3437,1.156
0.529114,0.7990,0.4696,-0.2534,0.961
0.534384,0.6150,0.2348,-0.1384,0.673
0.539025,0.4458,-0.0331,-0.0134,0.447
0.544179,0.3479,-0.2050,0.0642,0.409
0.550059,0.3394,-0.2381,0.1656,0.446
